,datetimehourly,weathertype
351,12/17/16 14:00,1
352,12/17/16 15:00,1
353,12/17/16 16:00,1
354,12/17/16 17:00,1
355,12/17/16 18:00,1
356,12/17/16 19:00,1
357,12/17/16 20:00,1
358,12/17/16 21:00,1
359,12/17/16 22:00,1
360,12/17/16 23:00,1
361,12/18/16 0:00,1
362,12/18/16 1:00,1
363,12/18/16 2:00,1
364,12/18/16 3:00,1
365,12/18/16 4:00,1
366,12/18/16 5:00,1
367,12/18/16 6:00,1
368,12/18/16 7:00,1
369,12/18/16 8:00,1
370,12/18/16 9:00,1
371,12/18/16 10:00,1
372,12/18/16 11:00,1
373,12/18/16 12:00,1
374,12/18/16 13:00,1
375,12/18/16 14:00,1
376,12/18/16 15:00,1
377,12/18/16 16:00,1
378,12/18/16 17:00,1
379,12/18/16 18:00,1
380,12/18/16 19:00,1
381,12/18/16 20:00,1
382,12/18/16 21:00,1
383,12/18/16 22:00,1
384,12/18/16 23:00,1
385,12/19/16 0:00,1
386,12/19/16 1:00,1
387,12/19/16 2:00,1
388,12/19/16 3:00,1
389,12/19/16 4:00,1
390,12/19/16 5:00,1
391,12/19/16 6:00,1
392,12/19/16 7:00,1
393,12/19/16 8:00,1
394,12/19/16 9:00,1
395,12/19/16 10:00,1
396,12/19/16 11:00,1
397,12/19/16 12:00,1
398,12/19/16 13:00,1
399,12/19/16 14:00,1
400,12/19/16 15:00,1
401,12/19/16 16:00,1
402,12/19/16 17:00,1
403,12/19/16 18:00,1
404,12/19/16 19:00,1
405,12/19/16 20:00,1
406,12/19/16 21:00,1
407,12/19/16 22:00,1
408,12/19/16 23:00,1
409,12/20/16 0:00,1
410,12/20/16 1:00,1
411,12/20/16 2:00,1
412,12/20/16 3:00,1
413,12/20/16 4:00,1
414,12/20/16 5:00,1
415,12/20/16 6:00,1
416,12/20/16 7:00,1
417,12/20/16 8:00,1
418,12/20/16 9:00,1
419,12/20/16 10:00,1
420,12/20/16 11:00,1
421,12/20/16 12:00,1
422,12/20/16 13:00,1
423,12/20/16 14:00,1
424,12/20/16 15:00,1
425,12/20/16 16:00,1
426,12/20/16 17:00,1
427,12/20/16 18:00,1
428,12/20/16 19:00,1
429,12/20/16 20:00,1
430,12/20/16 21:00,1
431,12/20/16 22:00,1
432,12/20/16 23:00,1
433,12/21/16 0:00,1
434,12/21/16 1:00,1
435,12/21/16 2:00,1
436,12/21/16 3:00,1
437,12/21/16 4:00,1
438,12/21/16 5:00,1
439,12/21/16 6:00,1
440,12/21/16 7:00,1
441,12/21/16 8:00,1
442,12/21/16 9:00,1
443,12/21/16 10:00,1
444,12/21/16 11:00,1
445,12/21/16 12:00,1
446,12/21/16 13:00,1
447,12/21/16 14:00,1
448,12/21/16 15:00,1
449,12/21/16 16:00,1
450,12/21/16 17:00,1
451,12/21/16 18:00,1
452,12/21/16 19:00,1
453,12/21/16 20:00,1
454,12/21/16 21:00,1
455,12/21/16 22:00,1
456,12/21/16 23:00,1
457,12/22/16 0:00,1
458,12/22/16 1:00,1
459,12/22/16 2:00,1
460,12/22/16 3:00,1
461,12/22/16 4:00,1
462,12/22/16 5:00,1
463,12/22/16 6:00,1
464,12/22/16 7:00,1
465,12/22/16 8:00,1
466,12/22/16 9:00,1
467,12/22/16 10:00,1
468,12/22/16 11:00,1
469,12/22/16 12:00,1
470,12/22/16 13:00,1
471,12/22/16 14:00,1
472,12/22/16 15:00,1
473,12/22/16 16:00,1
474,12/22/16 17:00,1
475,12/22/16 18:00,1
476,12/22/16 19:00,1
477,12/22/16 20:00,1
478,12/22/16 21:00,1
479,12/22/16 22:00,1
480,12/22/16 23:00,1
481,12/23/16 0:00,1
482,12/23/16 1:00,1
483,12/23/16 2:00,1
484,12/23/16 3:00,1
485,12/23/16 4:00,1
486,12/23/16 5:00,1
487,12/23/16 6:00,1
488,12/23/16 7:00,1
489,12/23/16 8:00,1
490,12/23/16 9:00,1
491,12/23/16 10:00,1
492,12/23/16 11:00,1
493,12/23/16 12:00,1
494,12/23/16 13:00,1
495,12/23/16 14:00,1
496,12/23/16 15:00,1
497,12/23/16 16:00,1
498,12/23/16 17:00,1
499,12/23/16 18:00,1
500,12/23/16 19:00,1
501,12/23/16 20:00,1
502,12/23/16 21:00,1
503,12/23/16 22:00,1
504,12/23/16 23:00,1
505,12/24/16 0:00,1
506,12/24/16 1:00,1
507,12/24/16 2:00,1
508,12/24/16 3:00,1
509,12/24/16 4:00,1
510,12/24/16 5:00,1
511,12/24/16 6:00,1
512,12/24/16 7:00,1
513,12/24/16 8:00,1
514,12/24/16 9:00,1
515,12/24/16 10:00,1
516,12/24/16 11:00,1
517,12/24/16 12:00,1
518,12/24/16 13:00,1
519,12/24/16 14:00,1
520,12/24/16 15:00,1
521,12/24/16 16:00,1
522,12/24/16 17:00,1
523,12/24/16 18:00,1
524,12/24/16 19:00,1
525,12/24/16 20:00,1
526,12/24/16 21:00,1
527,12/24/16 22:00,1
528,12/24/16 23:00,1
529,12/25/16 0:00,1
530,12/25/16 1:00,1
531,12/25/16 2:00,1
532,12/25/16 3:00,1
533,12/25/16 5:00,1
534,12/25/16 6:00,1
535,12/25/16 7:00,1
536,12/25/16 8:00,1
537,12/25/16 9:00,1
538,12/25/16 10:00,1
539,12/25/16 11:00,1
540,12/25/16 12:00,1
541,12/25/16 13:00,1
542,12/25/16 14:00,1
543,12/25/16 15:00,1
544,12/25/16 16:00,1
545,12/25/16 17:00,1
546,12/25/16 18:00,1
547,12/25/16 19:00,1
548,12/25/16 20:00,1
549,12/25/16 21:00,1
550,12/25/16 22:00,1
551,12/25/16 23:00,1
552,12/26/16 0:00,1
553,12/26/16 1:00,1
554,12/26/16 2:00,1
555,12/26/16 4:00,1
556,12/26/16 5:00,1
557,12/26/16 6:00,1
558,12/26/16 7:00,1
559,12/26/16 8:00,1
560,12/26/16 9:00,1
561,12/26/16 10:00,1
562,12/26/16 11:00,1
563,12/26/16 12:00,1
564,12/26/16 13:00,1
565,12/26/16 14:00,1
566,12/26/16 15:00,1
567,12/26/16 16:00,1
568,12/26/16 17:00,1
569,12/26/16 18:00,1
570,12/26/16 19:00,1
571,12/26/16 20:00,1
572,12/26/16 21:00,1
573,12/26/16 22:00,1
574,12/26/16 23:00,1
575,12/27/16 0:00,1
576,12/27/16 1:00,1
577,12/27/16 2:00,1
578,12/27/16 3:00,1
579,12/27/16 4:00,1
580,12/27/16 5:00,1
581,12/27/16 6:00,1
582,12/27/16 7:00,1
583,12/27/16 8:00,1
584,12/27/16 9:00,1
585,12/27/16 10:00,1
586,12/27/16 11:00,1
587,12/27/16 12:00,1
588,12/27/16 13:00,1
589,12/27/16 14:00,1
590,12/27/16 15:00,1
591,12/27/16 16:00,1
592,12/27/16 17:00,1
593,12/27/16 18:00,1
594,12/27/16 19:00,1
595,12/27/16 20:00,1
596,12/27/16 21:00,1
597,12/27/16 22:00,1
598,12/27/16 23:00,1
599,12/28/16 0:00,1
600,12/28/16 1:00,1
601,12/28/16 2:00,1
602,12/28/16 3:00,1
