,datetimehourly,totalsales,quantity,newcustomer,returningcustomer,queueline
336,12/16/16 23:00,0,0,0,0,0
337,12/17/16 0:00,0,0,0,0,0
338,12/17/16 1:00,0,0,0,0,0
339,12/17/16 2:00,0,0,0,0,0
340,12/17/16 3:00,0,0,0,0,0
341,12/17/16 4:00,0,0,0,0,0
342,12/17/16 5:00,0,0,0,0,0
343,12/17/16 6:00,0,0,0,0,0
344,12/17/16 7:00,0,0,0,0,0
345,12/17/16 8:00,0,0,0,0,0
346,12/17/16 9:00,47.94,3.198,0,1,1
347,12/17/16 10:00,0,0,0,0,0
348,12/17/16 11:00,61.92,4.131,0,1,1
349,12/17/16 12:00,57.19,3.815,0,1,1
350,12/17/16 13:00,0,0,0,0,0
351,12/17/16 14:00,0,0,0,0,0
352,12/17/16 15:00,116.87,7.777,1,1,2
353,12/17/16 16:00,0,0,0,0,0
354,12/17/16 17:00,0,0,0,0,0
355,12/17/16 18:00,0,0,0,0,0
356,12/17/16 19:00,0,0,0,0,0
357,12/17/16 20:00,0,0,0,0,0
358,12/17/16 21:00,0,0,0,0,0
359,12/17/16 22:00,0,0,0,0,0
360,12/17/16 23:00,0,0,0,0,0
361,12/18/16 0:00,0,0,0,0,0
362,12/18/16 1:00,0,0,0,0,0
363,12/18/16 2:00,0,0,0,0,0
364,12/18/16 3:00,0,0,0,0,0
365,12/18/16 4:00,0,0,0,0,0
366,12/18/16 5:00,0,0,0,0,0
367,12/18/16 6:00,0,0,0,0,0
368,12/18/16 7:00,74.99,5.003,0,1,1
369,12/18/16 8:00,0,0,0,0,0
370,12/18/16 9:00,0,0,0,0,0
371,12/18/16 10:00,54.86,3.66,0,1,1
372,12/18/16 11:00,56.54,3.772,0,1,1
373,12/18/16 12:00,0,0,0,0,0
374,12/18/16 13:00,61.89,4.129,0,1,1
375,12/18/16 14:00,131.98,8.804,0,2,2
376,12/18/16 15:00,49.38,3.294,0,1,1
377,12/18/16 16:00,63.48,4.235,0,1,1
378,12/18/16 17:00,0,0,0,0,0
379,12/18/16 18:00,64.56,4.307,0,1,1
380,12/18/16 19:00,0,0,0,0,0
381,12/18/16 20:00,46.11,3.076,0,1,1
382,12/18/16 21:00,0,0,0,0,0
383,12/18/16 22:00,56.5,3.769,0,1,1
384,12/18/16 23:00,0,0,0,0,0
385,12/19/16 0:00,0,0,0,0,0
386,12/19/16 1:00,0,0,0,0,0
387,12/19/16 2:00,0,0,0,0,0
388,12/19/16 3:00,0,0,0,0,0
