"","datetimehour","pt100_h2","pt11_h2","pt200_pressure","pt250_pressure","pt930_left","pt931_right","asDate","day_col","month_col","year_col","second_col","min_col","hour_col"
"93","30/04/2017 08:40:00 ",154.007522583,153.133682251,447.6996459961,839.1926879883,88.805557251,45.0416679382,2017-04-30 08:40:00,30,4,2017,0,40,8
"94","30/04/2017 08:30:00 ",154.079864502,153.532989502,447.9890136719,839.4820556641,88.725692749,45.2013893127,2017-04-30 08:30:00,30,4,2017,0,30,8
"95","30/04/2017 08:20:00 ",154.1522064209,153.532989502,447.9890136719,839.7714233398,88.725692749,45.28125,2017-04-30 08:20:00,30,4,2017,0,20,8
"96","30/04/2017 08:10:00 ",154.3692169189,153.532989502,448.5677185059,839.7714233398,88.725692749,45.4409713745,2017-04-30 08:10:00,30,4,2017,0,10,8
"97","30/04/2017 08:00:00 ",154.4415435791,153.732635498,448.8570556641,839.7714233398,88.725692749,45.600692749,2017-04-30 08:00:00,30,4,2017,0,0,8
"98","30/04/2017 07:50:00 ",154.513885498,153.732635498,449.1464233398,840.639465332,88.725692749,45.680557251,2017-04-30 07:50:00,30,4,2017,0,50,7
"99","30/04/2017 07:40:00 ",154.586227417,153.9322967529,449.435760498,840.639465332,88.805557251,45.9201393127,2017-04-30 07:40:00,30,4,2017,0,40,7
"100","30/04/2017 07:30:00 ",154.7308959961,153.9322967529,449.435760498,840.9288330078,88.9652786255,46,2017-04-30 07:30:00,30,4,2017,0,30,7
"101","30/04/2017 07:20:00 ",154.875579834,154.131942749,450.014465332,841.5075073242,88.9652786255,46.2395820618,2017-04-30 07:20:00,30,4,2017,0,20,7
"102","30/04/2017 07:10:00 ",154.9479217529,154.131942749,450.3038330078,841.5075073242,88.9652786255,46.319442749,2017-04-30 07:10:00,30,4,2017,0,10,7
"103","30/04/2017 07:00:00 ",155.092590332,154.131942749,450.593170166,842.0862426758,89.045135498,46.4791679382,2017-04-30 07:00:00,30,4,2017,0,0,7
"104","30/04/2017 06:50:00 ",155.164932251,154.53125,450.8825378418,842.3755493164,89.125,46.6388893127,2017-04-30 06:50:00,30,4,2017,0,50,6
"105","30/04/2017 06:40:00 ",155.2372741699,154.53125,451.750579834,842.6649169922,89.045135498,46.7986106873,2017-04-30 06:40:00,30,4,2017,0,40,6
"106","30/04/2017 06:30:00 ",155.454284668,154.7308959961,452.0399169922,842.954284668,89.125,46.8784713745,2017-04-30 06:30:00,30,4,2017,0,30,6
"107","30/04/2017 06:20:00 ",155.5266265869,154.7308959961,452.329284668,842.954284668,89.125,47.118057251,2017-04-30 06:20:00,30,4,2017,0,20,6
"108","30/04/2017 06:10:00 ",155.671295166,154.930557251,452.907989502,843.5329589844,89.204864502,47.1979179382,2017-04-30 06:10:00,30,4,2017,0,10,6
"109","30/04/2017 06:00:00 ",155.8159790039,154.930557251,453.1973266602,843.8223266602,89.204864502,47.4375,2017-04-30 06:00:00,30,4,2017,0,0,6
"110","30/04/2017 05:50:00 ",155.8883056641,155.1302032471,453.4866943359,843.8223266602,89.3645858765,47.5173606873,2017-04-30 05:50:00,30,4,2017,0,50,5
"111","30/04/2017 05:40:00 ",155.960647583,155.1302032471,453.7760314941,844.4010620117,89.3645858765,47.6770820618,2017-04-30 05:40:00,30,4,2017,0,40,5
"112","30/04/2017 05:30:00 ",156.1776580811,155.529510498,453.7760314941,844.4010620117,89.444442749,47.836807251,2017-04-30 05:30:00,30,4,2017,0,30,5
"113","30/04/2017 05:20:00 ",156.25,155.529510498,454.6441040039,844.9797363281,89.524307251,47.9965286255,2017-04-30 05:20:00,30,4,2017,0,20,5
"114","30/04/2017 05:10:00 ",156.25,155.7291717529,454.6441040039,845.2691040039,89.524307251,48.0763893127,2017-04-30 05:10:00,30,4,2017,0,10,5
"115","30/04/2017 05:00:00 ",156.032989502,155.7291717529,454.9334411621,845.8477783203,89.524307251,48.3159713745,2017-04-30 05:00:00,30,4,2017,0,0,5
